model,dataset,pos_rate,precision,precision_std,recall,recall_std,f1,f1_std,f1_macro,f1_macro_std,balanced_acc,balanced_acc_std,roc_auc,roc_auc_std,pr_auc,pr_auc_std,fit_time,n_folds
BaselineLogisticRegression,breast_cancer,0.372583,0.954271,0.039552,0.924585,0.053858,0.937528,0.026633,0.950746,0.020478,0.948286,0.023420,0.991637,0.004811,0.988529,0.005892,0.095162,5
BaselineNaiveBayes,breast_cancer,0.372583,0.948821,0.049624,0.886822,0.063795,0.914303,0.033854,0.933134,0.025849,0.928035,0.028827,0.986249,0.008373,0.969451,0.026519,0.000236,5
BaselineLDA,breast_cancer,0.372583,0.994286,0.011429,0.886822,0.045961,0.937052,0.030324,0.951662,0.022585,0.942022,0.025361,0.992879,0.006682,0.990720,0.009378,0.002227,5
BaselineElasticNet,breast_cancer,0.372583,0.993103,0.013793,0.754817,0.111266,0.853377,0.076430,0.892486,0.053070,0.876000,0.057000,NaN,NaN,NaN,NaN,0.000822,5
BaselineKernelSVM,breast_cancer,0.372583,0.963245,0.030894,0.801883,0.079711,0.872090,0.041308,0.903527,0.029132,0.891141,0.035035,0.975744,0.015361,0.966993,0.018385,0.004570,5
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
MixtureOfLinearExpertsClassifier[nb],credit_card_fraud,0.001727,0.064628,0.014620,0.835374,0.014817,0.119520,0.025408,0.553991,0.014507,0.906432,0.006197,0.945246,0.007480,0.153543,0.064106,6.811155,5
FuzzyLogicLinearClassifier[logistic],credit_card_fraud,0.001727,0.800797,0.018111,0.685034,0.031320,0.737992,0.020889,0.868786,0.010459,0.842369,0.015656,0.972345,0.009396,0.695925,0.029954,1.127084,5
FuzzyLogicLinearClassifier[sgd],credit_card_fraud,0.001727,0.858744,0.027038,0.563018,0.055767,0.678259,0.041740,0.838900,0.020891,0.781428,0.027875,0.879864,0.024900,0.650714,0.020252,3.998062,5
FuzzyLogicLinearClassifier[lda],credit_card_fraud,0.001727,0.863292,0.025995,0.756195,0.029276,0.806033,0.025548,0.902859,0.012795,0.877994,0.014650,0.887116,0.012256,0.685829,0.034872,1.825531,5
FuzzyLogicLinearClassifier[nb],credit_card_fraud,0.001727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.499568,0.000002,0.500000,0.000000,0.941459,0.010171,0.133698,0.009250,0.790808,5
